Username,Tweet ID,Tweet,Favourites Count,Retweet Count
nytimes,1467554376436826120,"Bob Dole, who overcame grievous war wounds to become one of the longest-serving Republican leaders, died on Sunday… https://t.co/5iYgCgxRTs",1487,282
ABC,1468189064297959430,"ON THIS DAY: 80 years ago, the Empire of Japan launched an air raid on the U.S. Navy base at Pearl Harbor that clai… https://t.co/qM8JrSR6r8",958,490
AP,1467542855988256768,"BREAKING: Bob Dole, who overcame severe injures in World War II to lead the Senate GOP and run for president, dies… https://t.co/Dr2DWGTiJf",1002,400
USNavy,1468052781550682126,"LIVE NOW: USS UTAH SUNSET MEMORIAL - World War II veterans, U.S. and allied military personnel, friends and family… https://t.co/1AHCnXkBXV",574,180
MrJonCryer,1468048729030553607,Worth mentioning that the shutdown that came with the pandemic lockdowns was the biggest economic disruption the wo… https://t.co/FsSRzQNoua,1122,243
NBCNews,1467539484195667970,"BREAKING: Bob Dole, former Republican senator, presidential candidate and World War II hero, dies at age 98.… https://t.co/KI60gqGxiu",1725,518
dougmillsnyt,1468201664561696772,.@POTUS &amp; @FLOTUS make a sunrise visit to the World War II Memorial to mark National Pearl Harbor Remembrance Day a… https://t.co/5Gckchglno,1065,192
shen_shiwei,1468121603380711427,How many U.S military bases have been established across the globe since the end of the World War II?🤔 https://t.co/aIz87eLgEm,386,193
AP,1467949927812763650,"BREAKING: The body of the late Sen. Bob Dole will lie in state at the U.S. Capitol Rotunda, congressional leaders s… https://t.co/akn12KadPj",347,99
USMC,1468218751468425223,"#OTD, we mark 80 years since the attack on Pearl Harbor. Each year, we pause to remember those who perished that da… https://t.co/hnymbLVBBK",293,126
Franklin_Graham,1468216351139508227,"80 years ago today, Japanese forces attacked #PearlHarbor. This dark day was the catalyst that launched the United… https://t.co/9ahULxdMBi",450,97
abcWNN,1468146781196361729,"80 years ago today, the surprise attack on Pearl Harbor forced America into World War II. Today, those veterans wil… https://t.co/E6cbjQUxBi",153,71
FoxNews,1467599665050779649,"Bob Dole was a WWII hero and carried his battle scars the rest of his life
https://t.co/bQ5a5zUfV5",3866,312
ChrisMurphyCT,1467854605304401925,"Good morning. 

As Russia threatens to invade Ukraine, key Senate Republicans continue their blockade of Biden’s na… https://t.co/j7Hmxy9rIj",15846,6081
JackPosobiec,1467674606433714176,"We all know the reason the Bidens cares so much about Ukraine. 83,000 reasons per month.",11000,2055
NatashaBertrand,1467889516006547466,"NEW: ""Pretty damn aggressive"" sanctions package in works by US &amp; Europe should Russia invade Ukraine, sources say.… https://t.co/xWfXIMtzh9",3716,1183
tedcruz,1467724663195381763,Russia is massing troops on Ukraine border BECAUSE Biden gave Putin Nord Stream 2 pipeline (allowing Russia to bypa… https://t.co/RaN3yjsqVl,3317,778
IngrahamAngle,1468040965969612805,"If the Europeans really wanted to save Ukraine, they’d spend more of their GDP on a military.",2629,281
JackPosobiec,1467671059398803456,Does he mean we are going to get stuck in Ukraine fighting an unwinnable war for 20 years? https://t.co/gKzDvp8yrI,1328,276
SecBlinken,1467996399891582977,Spoke with Ukrainian President @ZelenskyyUA about Russia's aggression against Ukraine. I reiterated U.S. support fo… https://t.co/vyyWFKCINw,1997,534
MZHemingway,1468056054697181186,Excellent @IngrahamAngle arguing against the recent DC push to ramp up hostilities with Russia over Ukraine. Push c… https://t.co/BWqp9loWKT,1428,278
carlbildt,1467909753015877637,“There can be no room for misunderstanding. An attack against Ukraine would be as devastating to the European order… https://t.co/gROHd06hUf,576,200
Franklin_Graham,1467888375982088196,"The media has been highlighting tensions between Russia &amp; Ukraine, which could possibly end up in war. Join me in p… https://t.co/Q10TKYpmIu",3158,341
NatashaBertrand,1467906625608499209,Senior administration official hints at additional US deployments to eastern flank NATO allies in event of Russian… https://t.co/m6VWz4zHdp,1525,447
Mike_Eckel,1467585097482358786,"New satellite imagery of Russian troop deployments near Ukraine: images 1-2, near Pogonovo (south of Voronezh, NE o… https://t.co/F2MxERqsSO",580,315
AdamKinzinger,1467685262251671561,This would be the largest military action in Europe since WW2.  And inaction would devastate future NATO deterrence… https://t.co/yDjph6yAF5,1450,282
McFaul,1467539264955052037,Ukraine's fate should not be decided without Ukrainians in the room.,6481,959
thedailybeast,1467823399804231680,A 101-year-old Pearl Harbor survivor will travel to Hawaii for the 80th anniversary after his daughter raised nearl… https://t.co/arvI6Yf8Pi,1419,267
johncardillo,1468195649992679431,"Today is the 80th anniversary of the Pearl Harbor attack.

We didn’t respond with critical race theory, or Asian ge… https://t.co/kcCYArPEyM",770,190
usairforce,1468204401185730561,"Today marks the 80th anniversary of the attack on Pearl Harbor. We honor and remember the 2,403 servicemembers and… https://t.co/cYvi7Izs88",380,175
FoxNews,1468192315709669382,"Pearl Harbor's 80th anniversary: Veterans share why America must 'unite' today

https://t.co/lF7XZCCwuU",752,115
